Event,Latitude (Decimal deg),Longitude (Decimal deg),Station,Depth (m),Label,Source,YOUR DATA mean (units),YOUR DATA sd (units),Comments,,
1014,48.743,232.333,P6,45,467,Niskin,,,,,
1014,48.743,232.333,P6,45,468,Niskin,,,,,
1014,48.743,232.333,P6,40,469,Niskin,,,,,
1014,48.743,232.333,P6,40,470,Niskin,,,,,
1014,48.743,232.333,P6,40,471,Niskin,,,,,
1014,48.743,232.333,P6,20,472,Niskin,,,,,
1014,48.743,232.333,P6,20,473,Niskin,,,,,
1014,48.743,232.333,P6,20,474,Niskin,,,,,
1014,48.743,232.333,P6,5,475,Niskin,,,,,
1014,48.743,232.333,P6,5,476,Niskin,,,,,
1014,48.743,232.333,P6,5,477,Niskin,,,,,
1014,48.743,232.333,P6,5,478,Niskin,,,,,
1014,48.743,232.333,P6,5,479,Niskin,,,,,
1014,48.743,232.333,P6,5,480,Niskin,,,,,
1016,48.692,232.833,P5,1500,476,Niskin,,,,,
1016,48.692,232.833,P5,1500,477,Niskin,,,,,
1016,48.692,232.833,P5,1001,478,Niskin,,,,,
1016,48.692,232.833,P5,1001,479,Niskin,,,,,
1016,48.692,232.833,P5,1001,480,Niskin,,,,,
1016,48.692,232.833,P5,1001,486,Niskin,,,,,
1016,48.692,232.833,P5,750,487,Niskin,,,,,
1016,48.692,232.833,P5,500,488,Niskin,,,,,
1016,48.692,232.833,P5,300,489,Niskin,,,,,
1016,48.692,232.833,P5,300,490,Niskin,,,,,
1016,48.692,232.833,P5,300,491,Niskin,,,,,
1016,48.692,232.833,P5,300,492,Niskin,,,,,
1016,48.692,232.833,P5,200,493,Niskin,,,,,
1016,48.692,232.833,P5,100,494,Niskin,,,,,
1016,48.692,232.833,P5,100,495,Niskin,,,,,
1016,48.692,232.833,P5,75,496,Niskin,,,,,
1016,48.692,232.833,P5,75,497,Niskin,,,,,
1016,48.692,232.833,P5,75,498,Niskin,,,,,
1016,48.692,232.833,P5,75,499,Niskin,,,,,
1016,48.692,232.833,P5,40,500,Niskin,,,,,
1016,48.692,232.833,P5,40,501,Niskin,,,,,
1016,48.692,232.833,P5,20,502,Niskin,,,,,
1016,48.692,232.833,P5,20,503,Niskin,,,,,
1016,48.692,232.833,P5,20,504,Niskin,,,,,
1018,48.692,232.833,P5,150,505,Niskin,,,,,
1018,48.692,232.833,P5,150,506,Niskin,,,,,
1018,48.692,232.833,P5,150,507,Niskin,,,,,
1018,48.692,232.833,P5,125,508,Niskin,,,,,
1018,48.692,232.833,P5,55,509,Niskin,,,,,
1018,48.692,232.833,P5,55,510,Niskin,,,,,
1018,48.692,232.833,P5,55,511,Niskin,,,,,
1018,48.692,232.833,P5,55,512,Niskin,,,,,
1018,48.692,232.833,P5,55,513,Niskin,,,,,
1018,48.692,232.833,P5,55,514,Niskin,,,,,
1018,48.692,232.833,P5,55,515,Niskin,,,,,
1018,48.692,232.833,P5,55,516,Niskin,,,,,
1018,48.692,232.833,P5,5,517,Niskin,,,,,
1018,48.692,232.833,P5,5,518,Niskin,,,,,
1018,48.692,232.833,P5,5,519,Niskin,,,,,
1018,48.692,232.833,P5,5,520,Niskin,,,,,
1018,48.692,232.833,P5,5,521,Niskin,,,,,
1018,48.692,232.833,P5,5,522,Niskin,,,,,
1018,48.692,232.833,P5,5,523,Niskin,,,,,
1018,48.692,232.833,P5,5,524,Niskin,,,,,
1018,48.692,232.833,P5,5,525,Niskin,,,,,
1018,48.692,232.833,P5,5,526,Niskin,,,,,
1018,48.692,232.833,P5,5,527,Niskin,,,,,
1018,48.692,232.833,P5,5,528,Niskin,,,,,
1020,48.651,233,P4,60,529,Niskin,,,,,
1020,48.651,233,P4,55,530,Niskin,,,,,
1020,48.651,233,P4,50,531,Niskin,,,,,
1020,48.651,233,P4,45,532,Niskin,,,,,
1020,48.651,233,P4,40,533,Niskin,,,,,
1020,48.651,233,P4,35,534,Niskin,,,,,
1020,48.651,233,P4,30,535,Niskin,,,,,
1020,48.651,233,P4,25,536,Niskin,,,,,
1020,48.651,233,P4,20,537,Niskin,,,,,
1020,48.651,233,P4,15,538,Niskin,,,,,
1021,48.651,233,P4,1250,539,Niskin,,,,,
1021,48.651,233,P4,1250,540,Niskin,,,,,
1021,48.651,233,P4,1000,541,Niskin,,,,,
1021,48.651,233,P4,1000,542,Niskin,,,,,
1021,48.651,233,P4,1000,543,Niskin,,,,,
1021,48.651,233,P4,1000,544,Niskin,,,,,
1021,48.651,233,P4,750,545,Niskin,,,,,
1021,48.651,233,P4,750,546,Niskin,,,,,
1021,48.651,233,P4,500,547,Niskin,,,,,
1021,48.651,233,P4,300,548,Niskin,,,,,
1021,48.651,233,P4,300,549,Niskin,,,,,
1021,48.651,233,P4,300,550,Niskin,,,,,
1021,48.651,233,P4,300,551,Niskin,,,,,
1021,48.651,233,P4,300,552,Niskin,,,,,
1021,48.651,233,P4,300,553,Niskin,,,,,
1021,48.651,233,P4,300,554,Niskin,,,,,
1021,48.651,233,P4,300,555,Niskin,,,,,
1021,48.651,233,P4,200,556,Niskin,,,,,
1021,48.651,233,P4,200,557,Niskin,,,,,
1021,48.651,233,P4,150,558,Niskin,,,,,
1021,48.651,233,P4,150,559,Niskin,,,,,
1021,48.651,233,P4,150,560,Niskin,,,,,
1021,48.651,233,P4,150,561,Niskin,,,,,
1021,48.651,233,P4,150,562,Niskin,,,,,
1023,48.651,233,P4,125,563,Niskin,,,,,
1023,48.651,233,P4,125,564,Niskin,,,,,
1023,48.651,233,P4,100,565,Niskin,,,,,
1023,48.651,233,P4,100,566,Niskin,,,,,
1023,48.651,233,P4,65,567,Niskin,,,,,
1023,48.651,233,P4,65,568,Niskin,,,,,
1023,48.651,233,P4,65,569,Niskin,,,,,
1023,48.651,233,P4,65,570,Niskin,,,,,
1023,48.651,233,P4,65,571,Niskin,,,,,
1023,48.651,233,P4,65,572,Niskin,,,,,
1023,48.651,233,P4,65,573,Niskin,,,,,
1023,48.651,233,P4,65,574,Niskin,,,,,
1023,48.651,233,P4,65,575,Niskin,,,,,
